accepted_name
Oreopanax gnaphalocephalus
Oreopanax iodophyllus
Oreopanax ischnolobus
Oreopanax klugii
Oreopanax lechleri
Oreopanax mathewsii
Oreopanax pariahuancae
Oreopanax raimondii
Oreopanax sandianus
Oreopanax stenodactylus
Oreopanax urubambanus
Oreopanax weberbaueri
Oreopanax williamsii
Schefflera cainarachiensis
Schefflera euryphylla
Schefflera mathewsii
Schefflera monzonensis
Schefflera pardoana
Schefflera peruviana
Astrocaryum carnosum
Astrocaryum huicungo
Astrocaryum perangustatum
Astrocaryum scopatum
Ceroxylon pityrophyllum
Chelyocarpus repens
Euterpe luminosa
Geonoma trigona
Hyospathe peruviana
Aristolochia barbourii
Aristolochia bicolor
Aristolochia chachapoyensis
Aristolochia killipiana
Aristolochia physodes
Aristolochia putumayensis
Aristolochia xerophytica
Astephanus peruvianus
Cynanchum calycinum
Cynanchum canoi
Cynanchum hickenii
Cynanchum luteynii
Cynanchum peruvianum
Cynanchum thymifolium
Cynanchum tiaratum
Cynanchum unguiculatum
Ditassa crassa
Ditassa gracilipes
Ditassa peruviana
Ditassa violascens
Ditassa weberbaueri
Gonolobus marginatus
Gonolobus peruanus
Gonolobus purpureus
Gonolobus sagasteguii
Marsdenia oligantha
Marsdenia weberbaueri
Matelea aliciae
Matelea camiloana
Matelea glandulosa
Matelea klugii
Matelea longifolia
Matelea marginata
Matelea melinii
Matelea pedicellata
Matelea peruviana
Matelea ruiz-pavonii
Matelea schunkei
Matelea subsessilifolia
Matelea vargasii
Matelea weberbaueri
Matelea woytkowskii
Metastelma rariflorum
Orthosia tarmensis
Oxypetalum albiflorum
Oxypetalum weberbaueri
Philibertia peruviana
Schistonema weberbaueri
Stenomeria fosteri
Tassadia cordata
Asplenium divaricatum
Asplenium projectum
Achyrocline peruviana
Aequatorium cajamarcense
Aequatorium carpishense
Aequatorium juninense
Aequatorium rimachianum
Aequatorium stellatopilosum
Aequatorium tovarii
Aequatorium tuestae
Ageratina bishopii
Ageratina boekei
Ageratina chachapoyasensis
Ageratina gracilenta
Ageratina infiernillensis
Ageratina lobulifera
Ageratina lopez-mirandae
Ageratina pampalcensis
Ageratina piurae
Ageratina proba
Ageratina rhytidodes
Ageratina simulans
Ageratina subferruginea
Ageratina tarmensis
Ageratina vallincola
Ageratina wurdackii
Alloispermum weberbaueri
Amboroa wurdackii
Ambrosia dentata
Ambrosia pannosa
Aphanactis hutchisonii
Aristeguietia anisodonta
Aristeguietia ballii
Aristeguietia cursonii
Aristeguietia diplodictyon
Aristeguietia gascae
Aristeguietia tahonensis
Arnaldoa macbrideana
Arnaldoa weberbaueri
Ascidiogyne sanchezvegae
Ascidiogyne wurdackii
Asplundianthus sagasteguii
Asplundianthus scabrifolius
Asplundianthus trachyphyllus
Ayapanopsis andina
Ayapanopsis ferreyrii
Ayapanopsis mathewsii
Ayapanopsis tarapotensis
Ayapanopsis vargasii
Ayapanopsis wurdackiana
Aynia pseudascaricida
Baccharis alnifolia
Baccharis ayacuchensis
Baccharis brachylaenoides var. mathewsii
Baccharis chachapoyasensis
Baccharis chilcaura
Baccharis corymbosa
Baccharis davidsonii
Baccharis grandicapitulata var. subdentata
Baccharis hutchisonii
Baccharis johnwurdackiana
Baccharis kingii
Baccharis ledifolia
Baccharis libertadensis
Baccharis oxyphylla
Baccharis scabra
Baccharis tarmensis
Baccharis venulosoides
Badilloa drepanoides
Badilloa helianthifolia
Badilloa herrerae
Badilloa procera
Badilloa sphagnophila
Barnadesia blakeana
Barnadesia hutchisoniana
Barnadesia macbridei
Barnadesia reticulata
Bartlettina macromeris
Bidens abadiae var. pilosoides
Bidens monticola
Bishopanthus soliceps
Borrichia peruviana
Calea szyszylowiczii
Caxamarca sanchezii
Chaetanthera chiquianensis
Chaetanthera cochlearifolia
Chaetanthera peruviana
Chaptalia callacallensis
Chaptalia isernina
Chaptalia malcabalensis
Chersodoma deltoidea
Chersodoma juanisernii
Chersodoma ovopedata
Chiliotrichiopsis peruviana
Chromolaena anachoretica
Chromolaena eripsima
Chromolaena jelskii
Chrysactinium breviscapum
Chrysactinium wurdackii
Chrysanthellum indicum
Chucoa ilicifolia
Chuquiraga johnstonii
Chuquiraga oblongifolia
Chuquiraga raimondiana
Chuquiraga weberbaueri
Coreopsis breviligulata
Coreopsis cajamarcana
Coreopsis canescentifolia
Coreopsis celendinensis
Coreopsis connata
Coreopsis dentifolia
Coreopsis dilloniana
Coreopsis fasciculata var. laevigata
Coreopsis ferreyrae
Coreopsis foliosa
Coreopsis glaucodes
Coreopsis tinctoria
Coreopsis helleborifolia
Coreopsis holodasya
Coreopsis imbricata
Coreopsis integra
Coreopsis irmscheriana
Coreopsis killipii
Coreopsis lopez-mirandae
Coreopsis macbridei
Coreopsis microlepis
Coreopsis nodosa
Coreopsis oblanceolata
Coreopsis obovatifolia
Coreopsis parviceps
Coreopsis peruviana
Coreopsis pervelutina
Coreopsis piurana
Coreopsis poloe
Coreopsis polyactis
Coreopsis senaria
Coreopsis sherffii
Coreopsis woytkowskii
Critoniopsis ayabacensis
Critoniopsis gynoxiifolia
Critoniopsis jalcana
Critoniopsis jelskii
Critoniopsis macrofoliata
Critoniopsis oblongifolia
Critoniopsis paucartambensis
Critoniopsis peruviana
Critoniopsis quillonensis
Critoniopsis sagasteguii
Critoniopsis woytkowskii
Cronquistianthus bishopii
Cronquistianthus callacatensis
Cronquistianthus celendinensis
Cronquistianthus chachapoyensis
Cronquistianthus desmophyllus
Cronquistianthus determinatus
Cronquistianthus ferreyrii
Cronquistianthus glomeratus
Cronquistianthus lavandulifolius
Cronquistianthus lopez-mirandae
Cronquistianthus macbridei
Cronquistianthus marrubiifolius
Cronquistianthus urubambensis
Cronquistianthus volkensii
Crossothamnus pascoanus
Crossothamnus weberbaueri
Cuatrecasanthus jelskii
Cuatrecasanthus sandemanii
Dasyphyllum brevispinum
Dasyphyllum cabrerae
Dasyphyllum horridum
Dasyphyllum hystrix var. peruvianum
Dasyphyllum leiocephalum
Dendrophorbium argutidentatum
Dendrophorbium cosnipatense
Dendrophorbium dolichodoryium
Dendrophorbium goodspeedii
Dendrophorbium llewelynii
Dendrophorbium storkii
Dendrophorbium trigynum
Dendrophorbium vanillodorum
Dendrophorbium vargasii
Dillandia chachapoyensis
Diplostephium abietinum
Diplostephium affine
Diplostephium azureum
Diplostephium cajamarquillense
Diplostephium callaense
Diplostephium callilepis
Diplostephium carabayense
Diplostephium foliosissimum
Diplostephium gnidioides
Diplostephium goodspeedii
Diplostephium gynoxyoides
Diplostephium hippophae
Diplostephium konotrichum
Diplostephium lanatum
Diplostephium oxapampanum
Diplostephium pearcei
Diplostephium pulchrum
Diplostephium sagasteguii
Diplostephium sandiense
Diplostephium serratifolium
Diplostephium vermiculatum
Diplostephium weberbaueri
Diplostephium wurdackii
Dyssodia friasensis
Dyssodia jelskii
Dyssodia lopez-mirandae
Dyssodia remota
Ellenbergia glandulata
Encelia pilosiflora
Erigeron incaicus
Erigeron minusculus
Ferreyranthus excelsus
Ferreyranthus fruticosus
Ferreyranthus gentryi
Ferreyranthus ramonii
Ferreyranthus rugosus
Ferreyranthus vaginans
Ferreyranthus vernonioides
Ferreyrella cuatrecasasii
Fleischmannia altihuanucana
Fleischmannia cajamarcensis
Fleischmannia davidsmithii
Fleischmannia ferreyrii
Fleischmannia fragilis
Fleischmannia lithophila
Fleischmannia mercedensis
Fleischmannia petiolata
Fleischmannia quirozii
Fleischmannia rhodotephra
Fleischmannia sagasteguii
Fleischmannia vargasii
Flourensia angustifolia
Flourensia cajabambensis
Flourensia macrophylla
Flourensia peruviana
Flourensia polycephala
Galinsoga caligensis
Gamochaeta cabrerae
Gochnatia patazina
Gochnatia vargasii
Gochnatia vernonioides
Grindelia tarapacana var. verrucosa
Grosvenoria coelocaulis
Guevaria micranthera
Guevaria micranthera
Guevaria vargasii
Gynoxys albifluminis
Gynoxys callacallana
Gynoxys capituliparva
Gynoxys caracensis
Gynoxys cerrateana
Gynoxys colanensis
Gynoxys compressissima
Gynoxys congestiflora
Gynoxys costihirsuta
Gynoxys cuatrecasasii
Gynoxys cusilluyocana
Gynoxys cutervensis
Gynoxys cuzcoensis
Gynoxys dilloniana
Gynoxys fallax
Gynoxys ferreyrae
Gynoxys henrici
Gynoxys huanucona
Gynoxys huasahuasis
Gynoxys hutchisonii
Gynoxys hypoleucophylla
Gynoxys infralanata
Gynoxys jelskii
Gynoxys longistyla
Gynoxys macrophylla
Gynoxys malcabalensis
Gynoxys marcapatana
Gynoxys metcalfii
Gynoxys monzonensis
Gynoxys myrtoides
Gynoxys nitida
Gynoxys oleifolia
Gynoxys pachyphylla
Gynoxys pillahuatensis
Gynoxys poggeana
Gynoxys seleriana
Gynoxys soukupii
Gynoxys subamplectens
Gynoxys tetroici
Gynoxys tomentosissima
Gynoxys vacana
Gynoxys visoensis
Gynoxys weberbaueri
Gynoxys woytkowskii
Gynoxys yananoensis
Haplopappus ferreyrae
Haplopappus viridialbus
Hebeclinium beneolens
Hebeclinium vestitum
Heliopsis decumbens
Helogyne calocephala
Helogyne ferreyrae
Helogyne hutchisonii
Heterosperma ferreyrii
Hieracium adenoconum
Hieracium cacrayense
Hieracium comasinum
Hieracium frigidulans
Hieracium infravillosulum
Hieracium mathewsii
Hieracium peruanum var. ayavacanum
Hieracium tallenganum
Hieracium weberbauerianum
Holoschkuhria tetramera
Hughesia reginae
Hypochaeris mucida
Jalcophila peruviana
Jungia amplistipula
Jungia gracilis
Jungia schuerae
Jungia stuebelii
Jungia vitocensis
Kaunia eucosmoides
Koanophyllon flexilis
Koanophyllon huantae
Koanophyllon juninense
Koanophyllon sagasteguii
Lepidaploa davidsmithii
Lepidaploa ferreyrae
Lepidaploa rimachii
Lepidaploa sanmartinensis
Liabum diehlii
Liabum ferreyrii
Liabum macbridei
Liabum nudicaule
Liabum sandemannii
Liabum saundersii
Liabum vargasii
Liabum wurdackii
Llerasia hutchisonii
Llerasia pascoensis
Llerasia sanmartinensis
Loricaria lycopodinea
Loricaria thuyoides var. stuebelii
Luciliocline plicatifolia
Luciliocline spathulifolia
Lycoseris peruviana
Mikania areolata
Mikania arthroclada
Mikania brevifaucia
Mikania brooksii
Mikania bulbisetifera
Mikania bullata
Mikania carnosa
Mikania conglomerata
Mikania crassifolia
Mikania cutervensis
Mikania dudleyi
Mikania filicifolia
Mikania glandulifera
Mikania hensoldiana
Mikania hexagonocaulis
Mikania huanucoensis
Mikania infesta
Mikania inornata
Mikania iquitosensis
Mikania jelskii
Mikania lancifolia
Mikania lasiopoda
Mikania macrostipulata
Mikania oreopola
Mikania parvicapitulata
Mikania pendula
Mikania shushunensis
Mikania tambillensis
Mikania violaefolia
Mikania wurdackii
Monactis flaverioides
Monactis hieronymi
Monactis jelskii
Monactis wurdackii
Munnozia affinis
Munnozia angusta
Munnozia convencionensis
Munnozia ferreyrii
Munnozia herrerae
Munnozia lanceolata
Munnozia luyensis
Munnozia olearioides
Munnozia oxyphylla
Munnozia peruensis
Munnozia sagasteguii
Munnozia silphioides
Munnozia smithii
Munnozia trinervis
Mutisia arequipensis
Mutisia mathewsii
Mutisia pulcherrima
Mutisia rauhii
Mutisia venusta
Mutisia wurdackii
Neocuatrecasia cuzcoensis
Neocuatrecasia dispar
Neocuatrecasia hirtella
Neocuatrecasia mancoana
Neocuatrecasia sandiensis
Neocuatrecasia sessilifolia
Neocuatrecasia weddellii
Nothobaccharis candolleana
Noticastrum macbridei
Onoseris acerifolia
Onoseris amplexicaulis
Onoseris annua
Onoseris cabrerae
Onoseris castelnaeana
Onoseris chrysactinioides
Onoseris cummingii
Onoseris humboldtiana
Onoseris linearifolia
Onoseris lopezii
Onoseris macbridei
Onoseris minima
Onoseris odorata
Onoseris weberbaueri
Ophryosporus apricus
Ophryosporus bipinnatifidus
Ophryosporus ferreyrii
Ophryosporus galioides
Ophryosporus hartwegii
Ophryosporus hoppii
Ophryosporus macbridei
Ophryosporus mathewsii
Ophryosporus ovatus
Ophryosporus pubescens
Ophryosporus sagasteguii
Oritrophium aciculifolium
Oritrophium callacallense
