accepted_name,registro_dep
Mathieua galanthoides,Piura
Rauhia decora,Amazonas
Rauhia multiflora,Amazonas
Rauhia multiflora,Cajamarca
Rauhia occidentalis,Cajamarca
Rauhia staminosa,Amazonas
Stenomesson campanulatum,Cajamarca
Stenomesson campanulatum,La Libertad
Stenomesson chloranthum,Amazonas
Stenomesson chloranthum,Cajamarca
Stenomesson cuzcoense,Cusco
Stenomesson flavum,Lima
Stenomesson gasteroides,Amazonas
Stenomesson gasteroides,Cajamarca
Stenomesson gasteroides,Lambayeque
Stenomesson leucanthum,Amazonas
Stenomesson leucanthum,Cajamarca
Stenomesson luteum,Áncash
Stenomesson parvulum,Cajamarca
Stenomesson weberbaueri,Cajamarca
Stenomesson weberbaueri,La Libertad
Urceolina ayacucensis,Junín
Urceolina microcrater,Huánuco
Urceolina microcrater,Junín
Urceolina microcrater,Pasco
Urceolina robledoana,Cusco
Zephyranthes briquetii,Moquegua
Mauria denticulata,Ayacucho
Mauria killipii,Junín
Mauria peruviana,Huánuco
Mauria sericea,Huánuco
Mauria sericea,Junín
Mauria trichothyrsa,Cajamarca
Orthopterygium huaucui,Ayacucho
Orthopterygium huaucui,Huancavelica
Orthopterygium huaucui,Ica
Orthopterygium huaucui,Lima
Thyrsodium herrerense,Loreto
Thyrsodium herrerense,Pasco
Arracacia incisa,Áncash
Arracacia incisa,Cusco
Arracacia incisa,Huánuco
Arracacia incisa,Lima
Arracacia incisa,Pasco
Arracacia peruviana,Áncash
Arracacia peruviana,Ayacucho
Arracacia peruviana,Cajamarca
Arracacia peruviana,Cusco
Arracacia peruviana,Lima
Arracacia peruviana,Moquegua
Bowlesia argenticaulis,La Libertad
Domeykoa amplexicaulis,Arequipa
Domeykoa saniculifolia,Arequipa
Domeykoa saniculifolia,Ica
Domeykoa saniculifolia,Moquegua
Domeykoa saniculifolia,Tacna
Eremocharis confinis,Tacna
Eremocharis ferreyrae,Arequipa
Eremocharis hutchisonii,Arequipa
Eremocharis integrifolia,Lima
Eremocharis longiramea,Áncash
Eremocharis longiramea,Cajamarca
Eremocharis longiramea,La Libertad
Eremocharis longiramea,Lambayeque
Eremocharis longiramea,Lima
Eremocharis longiramea,Piura
Eremocharis piscoensis,Arequipa
Eremocharis piscoensis,Huancavelica
Eremocharis piscoensis,Ica
Eremocharis tripartita,Cajamarca
Eremocharis tripartita,La Libertad
Eremocharis triradiata,Cusco
Hydrocotyle bonplandii var. hirtipes,Huánuco
Hydrocotyle dahlgrenii,Pasco
Hydrocotyle globiflora,Cajamarca
Hydrocotyle globiflora,Huánuco
Hydrocotyle globiflora,Pasco
Hydrocotyle gracilis,Huánuco
Hydrocotyle longipes,Ayacucho
Hydrocotyle longipes,Cusco
Hydrocotyle sagasteguii,Cajamarca
Hydrocotyle sagasteguii,La Libertad
Hydrocotyle vestita,Ayacucho
Hydrocotyle vestita,Cusco
Niphogeton stricta,Áncash
Niphogeton stricta,Cajamarca
Niphogeton stricta,Lima
Paraselinum weberbaueri,Ayacucho
Paraselinum weberbaueri,Pasco
Allamanda weberbaueri,Amazonas
Allamanda weberbaueri,Cajamarca
Allamanda weberbaueri,La Libertad
Allomarkgrafia ovalis,Amazonas
Allomarkgrafia ovalis,Huánuco
Allomarkgrafia ovalis,Loreto
Allomarkgrafia ovalis,San Martín
Allomarkgrafia tubiflora,Amazonas
Allomarkgrafia tubiflora,Huánuco
Allomarkgrafia tubiflora,Loreto
Malouetia gentryi,Loreto
Mandevilla sandemanii,Huánuco
Mesechites acuminatus,Amazonas
Mesechites acuminatus,Cajamarca
Mesechites acuminatus,Cusco
Mesechites acuminatus,Huánuco
Mesechites acuminatus,Junín
Mesechites acuminatus,Lambayeque
Mesechites acuminatus,Loreto
Mesechites acuminatus,Pasco
Mesechites acuminatus,San Martín
Odontadenia cordigera,Loreto
Odontadenia macrostoma,Amazonas
Parahancornia peruviana,Loreto
Parahancornia peruviana,San Martín
Parahancornia peruviana,Ucayali
Peltastes ampliflorus,Amazonas
Peltastes ampliflorus,San Martín
Peltastes peruvianus,Amazonas
Peltastes peruvianus,Cajamarca
Peltastes peruvianus,Huánuco
Peltastes peruvianus,Pasco
Peltastes peruvianus,Ucayali
Prestonia cordifolia,Cajamarca
Prestonia cordifolia,Lambayeque
Prestonia cordifolia,Piura
Prestonia cordifolia,Tumbes
Prestonia lacerata,Loreto
Tabernaemontana hirtula var. maynensis,Loreto
Ilex crassifolia,Amazonas
Ilex crassifolioides,Amazonas
Ilex crassifolioides,San Martín
Ilex gotardensis,Pasco
Ilex gotardensis,San Martín
Ilex jelskii,Cajamarca
Ilex lilianeae,Cajamarca
Ilex loretoica,San Martín
Ilex tarapotina,Huánuco
Ilex tarapotina,Pasco
Ilex tarapotina,San Martín
Ilex trachyphylla,Cajamarca
Ilex villosula,Amazonas
Ilex villosula,Huánuco
Ilex villosula,La Libertad
Ilex villosula,Pasco
Ilex villosula,Puno
Anthurium cainarachense,San Martín
Anthurium carneospadix,Cajamarca
Anthurium carneospadix,Junín
Anthurium chinchipense,Cajamarca
Anthurium consimile,Huánuco
Anthurium consimile,Junín
Anthurium consimile,Pasco
Anthurium consimile,San Martín
Anthurium gracilipedunculatum,Cajamarca
Anthurium gracilipedunculatum,Huánuco
Anthurium gracilipedunculatum,Pasco
Anthurium hamiltonii,Cajamarca
Anthurium hamiltonii,Pasco
Anthurium huallagense,Huánuco
Anthurium huallagense,Junín
Anthurium huallagense,Pasco
Anthurium huanucense,Huánuco
Anthurium huanucense,Junín
Anthurium idmense,Cajamarca
Anthurium idmense,Cusco
Anthurium knappiae,San Martín
Anthurium latissimum,Ayacucho
Anthurium latissimum,Huánuco
Anthurium latissimum,Junín
Anthurium latissimum,Pasco
Anthurium latissimum,San Martín
Anthurium llewelynii,Huánuco
Anthurium llewelynii,San Martín
Anthurium macbridei,Huánuco
Anthurium magdae,Amazonas
Anthurium magdae,Cajamarca
Anthurium magdae,Junín
Anthurium manuanum,Madre de Dios
Anthurium mariae,Amazonas
Anthurium monzonense,Cusco
Anthurium monzonense,Huánuco
Anthurium monzonense,Junín
Anthurium monzonense,Pasco
Anthurium monzonense,San Martín
Anthurium peltatum,Amazonas
Anthurium peltatum,Huánuco
Anthurium peltatum,San Martín
Anthurium peltatum,Ucayali
Anthurium reflexinervium,Huánuco
Anthurium remotigeniculatum,Amazonas
Anthurium remotigeniculatum,San Martín
Anthurium schunkei,Junín
Anthurium simpsonii,Tumbes
Anthurium superbum,Amazonas
Anthurium tarapotense,Pasco
Anthurium tarapotense,San Martín
Anthurium uleanum var. nanayense,Loreto
Anthurium yurimaguense,Loreto
Dieffenbachia cordata,Junín
Dieffenbachia imperialis,Sin_datos
Dieffenbachia macrophylla,Huánuco
Dieffenbachia macrophylla,Loreto
Dieffenbachia macrophylla,Pasco
Dieffenbachia obliqua,Loreto
Filarum manserichense,Amazonas
Filarum manserichense,Cusco
Filarum manserichense,Loreto
Filarum manserichense,San Martín
Gorgonidium intermedium,Cusco
Gorgonidium vargasii,Amazonas
Gorgonidium vargasii,Apurímac
Gorgonidium vargasii,Cusco
Gorgonidium vargasii,Huánuco
Gorgonidium vargasii,Lima
Gorgonidium vargasii,Pasco
Philodendron alatum,Cusco
Philodendron alatum,Huánuco
Philodendron alatum,Loreto
Philodendron alatum,Madre de Dios
Philodendron alatum,San Martín
Philodendron basivaginatum,Loreto
Philodendron densivenium,Huánuco
Philodendron densivenium,Puno
Philodendron devansayeanum,Pasco
Philodendron huanucense,Huánuco
Philodendron juninense,Huánuco
Philodendron juninense,Junín
Philodendron killipii,Junín
Philodendron mathewsii,Huánuco
Philodendron membranaceum,Huánuco
Philodendron stenophyllum,Huánuco
Philodendron tarmense,Junín
Philodendron weberbaueri,Junín
Philodendron weberbaueri,Puno
Spathiphyllum gracile,Amazonas
Spathiphyllum gracile,Loreto
Spathiphyllum tenerum,San Martín
Stenospermation crassifolium,Huánuco
Stenospermation crassifolium,Junín
Stenospermation crassifolium,Pasco
