accepted_name,registro_dep
Verbesina leivae,Amazonas
Verbesina leivae,Cajamarca
Verbesina lopez-mirandae,Cajamarca
Verbesina lopez-mirandae,La Libertad
Verbesina macbridei,Cajamarca
Verbesina macbridei,Huánuco
Verbesina macbridei,La Libertad
Verbesina malacophylla,Huánuco
Verbesina monactioides,Huancavelica
Verbesina ochroleucotricha,Amazonas
Verbesina otuzcensis,Cajamarca
Verbesina otuzcensis,La Libertad
Verbesina paucicephala,Huancavelica
Verbesina pauciramea,Huánuco
Verbesina pentalobifolia,Lambayeque
Verbesina perlanata,La Libertad
Verbesina piurana,Piura
Verbesina plowmanii,Lambayeque
Verbesina retifera,Cusco
Verbesina sanchezii,Cajamarca
Verbesina simplicicaulis,Piura
Verbesina subrotundifolia,Piura
Verbesina szyszylowiczii,Cajamarca
Verbesina tovari,Huancavelica
Verbesina weberbaueri,Junín
Vernonanthura sambrayana,Cusco
Vernonia cutervensis,Cajamarca
Vernonia fieldiana,San Martín
Lepidaploa retrosetosa,Puno
Vernonia rimachii,San Martín
Viguiera brittonii,Cajamarca
Viguiera ellenbergii,Cusco
Viguiera lepidostephana,Cajamarca
Viguiera lepidostephana,Piura
Viguiera lepidostephana,Tumbes
Viguiera macbridei,Huánuco
Viguiera peruviana,Áncash
Viguiera peruviana,Cajamarca
Viguiera peruviana,Cusco
Viguiera peruviana,Huancavelica
Viguiera peruviana,Lima
Viguiera pusilla var. pusilla,Lima
Viguiera pusilla var. astephana,Huánuco
Viguiera simsioides,La Libertad
Viguiera simsioides,Lima
Viguiera szyszylowiczii,Cajamarca
Viguiera szyszylowiczii,La Libertad
Viguiera truxillensis,Cajamarca
Viguiera truxillensis,La Libertad
Viguiera truxillensis,Lima
Viguiera weberbaueri,Arequipa
Viguiera weberbaueri,Tacna
Wedelia episcopalis,Cajamarca
Wedelia forbesii,La Libertad
Wedelia hoffmanniana,Arequipa
Werneria carnulosa,Huánuco
Werneria cornea,Huánuco
Werneria obtusiloba,Arequipa
Werneria obtusiloba,Moquegua
Werneria orbignyana var. breviradiata,Huánuco
Werneria plantaginifolia var. macrocephala,Apurímac
Werneria pygmophylla,Moquegua
Werneria weberbaueriana,Áncash
Xenophyllum esquilachense,Puno
Xenophyllum staffordiae,Áncash
Xenophyllum staffordiae,Arequipa
Xenophyllum staffordiae,Huánuco
Xenophyllum staffordiae,Lima
Xenophyllum staffordiae,Puno
Begonia anemoniflora,Junín
Begonia arrogans,Pasco
Begonia bifurcata,Piura
Begonia brevicordata,Cusco
Begonia falcifolia,Sin_datos
Begonia gesnerioides,Amazonas
Begonia gesnerioides,San Martín
Begonia glauca,Huánuco
Begonia glaucoides,Huánuco
Begonia gracillima,Sin_datos
Begonia herrerae,Cusco
Begonia hirta var. cordifolia,Huánuco
Begonia juninensis,Junín
Begonia longimaculata,Loreto
Begonia longimaculata,San Martín
Begonia lucifuga,Junín
Begonia mayasiana,Amazonas
Begonia monadelpha,Amazonas
Begonia monadelpha,Cajamarca
Begonia monadelpha,La Libertad
Begonia obtecticaulis,Huánuco
Begonia obtecticaulis,Ucayali
Begonia octopetala,Huánuco
Begonia peltigera,Puno
Begonia pilosella,Cusco
Begonia polypetala,Piura
Begonia prionophylla,Amazonas
Begonia prionophylla,Huánuco
Begonia pseudoglauca,Huánuco
Begonia hirta,Junín
Begonia rubiginosipes,Pasco
Begonia rubrotincta,Amazonas
Begonia soror,Amazonas
Begonia stenotepala,Cusco
Begonia subciliata var. persicina,Junín
Begonia subspinulosa,Cusco
Begonia thyrsoidea,Cusco
Begonia tribracteata,Ayacucho
Begonia tumbezensis,Tumbes
Begonia velata,Piura
Begonia viridiflora var. viridiflora,Huánuco
Begonia viridiflora var. parviflora,Ayacucho
Begonia viridiflora var. parviflora,Huánuco
Begonia viridiflora var. parviflora,Junín
Begonia weberbaueri,Cajamarca
Begonia wurdackii,Amazonas
Begonia wurdackii,San Martín
Berberis armata,Cusco
Berberis barbeyana,Amazonas
Berberis beauverdiana,Amazonas
Berberis beauverdiana,Cajamarca
Berberis beauverdiana,Piura
Berberis buceronis,Cajamarca
Berberis buceronis,La Libertad
Berberis citernei,Sin_datos
Berberis cliffortioides,Cusco
Berberis cliffortioides,Junín
Berberis cliffortioides,Pasco
Berberis dryandriphylla,Cusco
Berberis flexuosa,Áncash
Berberis flexuosa,Huánuco
Berberis flexuosa,Junín
Berberis flexuosa,Lima
Berberis flexuosa,Pasco
Berberis hochreutineriana,Huánuco
Berberis humbertiana,Apurímac
Berberis humbertiana,Ayacucho
Berberis humbertiana,Cusco
Berberis monosperma,Áncash
Berberis monosperma,Cajamarca
Berberis monosperma,Junín
Berberis monosperma,Lima
Berberis monosperma,Puno
Berberis podophylla,Áncash
Berberis tomentosa,Amazonas
Berberis tomentosa,Huánuco
Berberis tomentosa,Junín
Berberis tomentosa,Pasco
Berberis tomentosa,San Martín
Berberis weberbaueri,Áncash
Berberis weberbaueri,Cajamarca
Berberis weberbaueri,La Libertad
Berberis weberbaueri,Lambayeque
Cuspidaria weberbaueri,Junín
Cuspidaria weberbaueri,San Martín
Delostoma dentatum,Áncash
Delostoma dentatum,Ayacucho
Delostoma dentatum,Lima
Eccremocarpus huainaccapac,Apurímac
Eccremocarpus huainaccapac,Cusco
Tecoma guarume,Ica
Tecoma guarume,Lima
Burmannia stuebelii,Amazonas
Burmannia stuebelii,Cajamarca
Burmannia stuebelii,La Libertad
Burmannia stuebelii,San Martín
Ceiba mythica,Piura
Eriotheca peruviana,La Libertad
Eriotheca vargasii,Cusco
Matisia longitubulosa,Loreto
Pseudobombax cajamarcanus,Amazonas
Pseudobombax cajamarcanus,La Libertad
Quararibea bilobata,Loreto
Quararibea velutina,Loreto
Cordia cicatricosa,Loreto
Cordia iguaguana,Amazonas
Cordia iguaguana,Cajamarca
Cordia iguaguana,San Martín
Cordia lippioides,Áncash
Cordia lippioides,Huánuco
Cordia munda,Cajamarca
Cordia munda,La Libertad
Cordia munda,Lima
Cordia vargasii,Cusco
Cordia varronifolia,Amazonas
Cordia varronifolia,Cajamarca
Cryptantha limensis,Arequipa
Cryptantha limensis,Lima
Cryptantha limensis,Moquegua
Cryptantha varians,Lima
Hackelia andicola,Amazonas
Hackelia andicola,Cajamarca
Hackelia parviflora,Junín
Heliotropium adenogynum,Áncash
Heliotropium adenogynum,Lima
Heliotropium erianthum,Áncash
Heliotropium erianthum,Piura
Euploca ferreyrae,Áncash
Euploca ferreyrae,Cajamarca
Euploca ferreyrae,La Libertad
Euploca ferreyrae,Lambayeque
Euploca ferreyrae,Lima
Euploca ferreyrae,Piura
Heliotropium lanceolatum,Lambayeque
Heliotropium lanceolatum,La Libertad
Heliotropium lanceolatum,Lima
Heliotropium lippioides,Cajamarca
Heliotropium lobbii,Amazonas
Heliotropium lobbii,Cajamarca
Heliotropium oxylobum,Apurímac
Heliotropium oxylobum,Cusco
Heliotropium oxylobum,Huancavelica
Heliotropium oxylobum,Lima
Heliotropium pilosum,Áncash
Heliotropium pilosum,Arequipa
Heliotropium pilosum,Cusco
Heliotropium pilosum,Lima
Heliotropium piurense,Piura
Heliotropium polyanthellum,Cajamarca
Heliotropium polyanthellum,Lambayeque
Heliotropium toratense,Moquegua
Lithospermum macbridei,Huánuco
Lithospermum macbridei,La Libertad
Lithospermum macbridei,Pasco
Pectocarya anomala,Arequipa
Plagiobothrys macbridei,Lima
Tiquilia dichotoma,Arequipa
Tiquilia dichotoma,Ica
Tiquilia dichotoma,Lambayeque
Tiquilia dichotoma,Lima
Tiquilia dichotoma,La Libertad
Tiquilia dichotoma,Piura
Tiquilia elongata,Arequipa
Tiquilia elongata,Tacna
Tiquilia ferreyrae,Arequipa
Tiquilia ferreyrae,Ica
Tiquilia hunteri,Arequipa
Tiquilia simulans,Arequipa
Tiquilia tacnensis,Tacna
Tournefortia longifolia,Cajamarca
Tournefortia longifolia,Cusco
Tournefortia longifolia,Huánuco
Tournefortia longifolia,Junín
Tournefortia longifolia,Pasco
Tournefortia ternifolia,Amazonas
Tournefortia ternifolia,Cajamarca
Tournefortia ternifolia,Junín
Tournefortia ternifolia,Tumbes
Tournefortia vasquezii,Cajamarca
Aschersoniodoxa pilosa,Cusco
Catadysia rosulans,Áncash
Dactylocardamum imbricatifolium,Áncash
Dictyophragmus englerianus,Arequipa
Alyssum argenteum,Áncash
Alyssum argenteum,Junín
Alyssum argenteum,Lima
Draba cuzcoensis,Cusco
Draba matthioloides,Áncash
Draba matthioloides,Cajamarca
Draba matthioloides,Lima
Draba matthioloides,Áncash
Draba ochropetala,Áncash
Draba sagasteguii,La Libertad
Draba ochropetala,Áncash
Draba wurdackii,Amazonas
Draba wurdackii,Cajamarca
Englerocharis pauciflora,Junín
Eremodraba schulzii,Arequipa
Eudema incurva,Áncash
Lepidium cyclocarpum var. crassius,Arequipa
Lepidium kalenbornii,Áncash
Lepidium kalenbornii,Junín
Lepidium kalenbornii,Lima
Lepidium pubescens,Lima
Machaerophorus matthioloides,Puno
Mathewsia peruviana,Arequipa
Mostacillastrum dianthoides,Arequipa
Polypsecadium effusum,Huancavelica
Polypsecadium effusum,Lima
Mostacillastrum ferreyrae,Arequipa
Dictyophragmus lactucoides,Arequipa
Polypsecadium llatasii,Lambayeque
Mostacillastrum morrisonii,Arequipa
Mostacillastrum pectinifolium,Arequipa
Mostacillastrum weberbaueri,Moquegua
Weberbauera bracteata,Áncash
Weberbauera dillonii,La Libertad
Weberbauera perforata,Cusco
Weberbauera scabrifolia,Huánuco
Weberbauera smithii,Áncash
Weberbauera violacea,Cajamarca
Aechmea arenaria,Loreto
Aechmea arenaria,Madre de Dios
Aechmea arenaria,San Martín
Aechmea brachystachys,Amazonas
Aechmea confusa,Loreto
Aechmea ferruginea,Pasco
Aechmea ferruginea,San Martín
Aechmea paniculata,Huánuco
Aechmea vasquezii,Amazonas
Billbergia formosa,Loreto
Billbergia incarnata,Huánuco
Billbergia incarnata,Loreto
Billbergia incarnata,Pasco
Billbergia incarnata,San Martín
Billbergia tessmannii,Amazonas
Billbergia tessmannii,Loreto
Billbergia tessmannii,Ucayali
Bromelia poeppigii,San Martín
Bromelia tarapotina,Loreto
Bromelia tarapotina,San Martín
Fosterella aletroides,Cusco
Greigia leymebambana,Amazonas
Greigia macbrideana,Amazonas
Greigia macbrideana,Huánuco
Greigia raporum,Cusco
Greigia raporum,Junín
Greigia vilcabambae,Cusco
Greigia vilcabambae,Junín
Guzmania bismarckii,San Martín
Guzmania brevispatha,Huánuco
Guzmania cuzcoensis,Cusco
Guzmania diazii,Amazonas
Guzmania lindenii,San Martín
Guzmania lindenii,Junín
Guzmania marantoidea,Amazonas
Guzmania marantoidea,San Martín
Guzmania victoriae,Amazonas
Guzmania victoriae,San Martín
Guzmania viridiflora,Amazonas
Guzmania xipholepis,Amazonas
Guzmania xipholepis,Pasco
Neoregelia eleutheropetala,Loreto
Neoregelia wurdackii,Amazonas
Pepinia holstii,Cusco
Pepinia minicorallina,Amazonas
Pepinia neglecta,San Martín
Pepinia peruana,Amazonas
Pepinia peruana,Cajamarca
Pitcairnia acicularis,Áncash
Pitcairnia acicularis,Lambayeque
Pitcairnia ancuashii,Amazonas
Pitcairnia arenaria,Amazonas
Pitcairnia arenaria,Cajamarca
Pitcairnia asplundii,Amazonas
Pitcairnia asplundii,Huánuco
Pitcairnia attenuata,San Martín
Pitcairnia augustii,La Libertad
Pitcairnia bifaria,Huánuco
Pitcairnia calatheoides,Huánuco
Pitcairnia calatheoides,San Martín
Pitcairnia camposii,Cajamarca
Pitcairnia cassapensis,Cusco
Pitcairnia cassapensis,Huánuco
Pitcairnia cerrateana,Áncash
Pitcairnia clavata,Loreto
Pitcairnia cyanopetala,San Martín
Pitcairnia decurvata,Áncash
Pitcairnia decurvata,Cajamarca
Pitcairnia decurvata,Lambayeque
Pitcairnia ellenbergii,Cusco
Pitcairnia eximea,Junín
Pitcairnia ferreyrae,Ucayali
Pitcairnia filifera,Cusco
Pitcairnia fimbriato-bracteata,Amazonas
Pitcairnia fractifolia,Amazonas
Pitcairnia gutteana,Loreto
Pitcairnia inermis,Huánuco
Pitcairnia juzepczukii,Junín
Pitcairnia lopezii,La Libertad
Pitcairnia melanopoda,Amazonas
Pitcairnia pallidiflavens,San Martín
Pitcairnia poeppigiana,Loreto
Pitcairnia pomacochae,Amazonas
Pitcairnia pomacochae,Cajamarca
Pitcairnia pomacochae,Pasco
Pitcairnia pseudopungens,Amazonas
Pitcairnia pseudoundulata,Amazonas
Pitcairnia puyoides,San Martín
Pitcairnia rectiflora,San Martín
Pitcairnia roseoalba,Piura
Pitcairnia rubro-nigriflora,San Martín
Pitcairnia ruderalis,Ucayali
Pitcairnia ruiziana,Sin_datos
Pitcairnia sagasteguii,Piura
Pitcairnia sandemanii,Junín
Pitcairnia scandens,San Martín
Pitcairnia schunkei,San Martín
Pitcairnia serrulata,Amazonas
Pitcairnia smithiorum,Loreto
Pitcairnia stolonifera,Amazonas
Pitcairnia subfuscopetala,Cajamarca
Pitcairnia subulifera,Huánuco
Pitcairnia tarapotensis,Cajamarca
Pitcairnia tarapotensis,San Martín
Pitcairnia tatzyanae,Madre de Dios
Pitcairnia truncata,Amazonas
Pitcairnia truncata,Ayacucho
Pitcairnia truncata,Cajamarca
Pitcairnia utcubambensis,Amazonas
Pitcairnia utcubambensis,Madre de Dios
Pitcairnia vargasiana,Cusco
Pitcairnia wolfei,Huánuco
Pitcairnia yaupi-bajaensis,Pasco
Puya adscendens,Amazonas
Puya angulonis,Cajamarca
Puya angulonis,La Libertad
Puya angusta,Áncash
Puya angusta,Cajamarca
Puya araneosa,Huancavelica
Puya araneosa,Lima
Puya argentea,Áncash
Puya casmichensis,La Libertad
Puya cerrateana,Áncash
Puya commixta,Puno
Puya coriacea,Cajamarca
Puya coriacea,La Libertad
Puya cylindrica,Arequipa
Puya cylindrica,Cusco
Puya densiflora,Apurímac
Puya densiflora,Arequipa
Puya densiflora,Cusco
Puya depauperata,Junín
Puya dolichostrobila,Amazonas
Puya dolichostrobila,La Libertad
Puya ferox,Puno
Puya ferreyrae,Áncash
Puya ferreyrae,La Libertad
Puya fulgens,Amazonas
Puya gerdae,Lima
Puya gerd-muelleri,Cajamarca
Puya glandulosa,La Libertad
Puya gracilis,Huánuco
Puya gracilis,Huancavelica
Puya grandidens,Áncash
Puya gutteana,Cusco
Puya huancavelicae,Huancavelica
Puya hutchisonii,Áncash
Puya iltisiana,Apurímac
Puya isabellina,Amazonas
Puya isabellina,Cajamarca
Puya laccata,Huánuco
Puya lanuginosa,Huánuco
Puya lanuginosa,Junín
Puya lanuginosa,Pasco
Puya llatensis,Huánuco
Puya longisepala,Puno
Puya longistyla,Cusco
Puya lopezii,La Libertad
Puya macbridei subsp. macbridei,Áncash
Puya macbridei subsp. yungayensis,Áncash
Puya macrura,Áncash
Puya macrura,La Libertad
Puya mariae,Amazonas
Puya medica,Áncash
Puya medica,Cajamarca
Puya medica,La Libertad
Puya membranacea,Cusco
Puya mima,Cajamarca
Puya mitis,Amazonas
Puya mitis,Junín
Puya nigrescens,Áncash
Puya oxyantha,Puno
Puya pitcairnioides,Amazonas
Puya ponderosa,Ayacucho
Puya pratensis,Cajamarca
Puya pratensis,La Libertad
Puya pseudoeryngioides,Amazonas
Puya pyramidata,Huánuco
Puya pyramidata,La Libertad
Puya ramonii,Lambayeque
Puya ramosa,Amazonas
Puya rauhii,Áncash
Puya reflexiflora,Áncash
Puya reflexiflora,Cajamarca
Puya robin-fosteri,Pasco
Puya roezlii,Áncash
Puya roezlii,Apurímac
Puya roezlii,Lima
Puya sagasteguii,La Libertad
Puya simulans,La Libertad
Puya stipitata,Huánuco
Puya strobilantha,Junín
Puya textoragricolae,Puno
Puya tovariana,Lima
Puya tyleriana,Áncash
Puya vargasiana,Cusco
Puya werneriana,Junín
Puya wrightii,Amazonas
Puya wrightii,Cajamarca
Puya wurdackii,Amazonas
Racinaea cuspidata,Amazonas
Racinaea kalliantha,Piura
Racinaea lyman-smithiana,Piura
Tillandsia arenicola,La Libertad
Tillandsia aurea,Áncash
Tillandsia aurea,Amazonas
Tillandsia aurea,Cajamarca
Tillandsia bagua-grandensis,Amazonas
Tillandsia balsasensis,Amazonas
Tillandsia bismarckii,San Martín
Tillandsia brevilingua,Loreto
Tillandsia cacticola,Amazonas
Tillandsia cacticola,Cajamarca
Tillandsia cacticola,Huánuco
Tillandsia cacticola,Lambayeque
Tillandsia cacticola,La Libertad
Tillandsia cacticola,Piura
Tillandsia cajamarcensis,Cajamarca
Tillandsia carnosa,Amazonas
Tillandsia carnosa,Amazonas
Tillandsia cereicola,Amazonas
Tillandsia cereicola,Áncash
Tillandsia cereicola,Cajamarca
Tillandsia cereicola,La Libertad
Tillandsia cerrateana,Áncash
Tillandsia cerrateana,Cajamarca
Tillandsia cerrateana,Cusco
Tillandsia chiletensis,Cajamarca
Tillandsia churinensis,Lima
Tillandsia clavigera,Pasco
Tillandsia coinaensis,La Libertad
Tillandsia commixa,Amazonas
Tillandsia denudata,Amazonas
Tillandsia diffusa,Amazonas
Tillandsia diffusa,Áncash
Tillandsia diffusa,Cajamarca
Tillandsia ecarinata,Amazonas
Tillandsia ecarinata,Piura
Tillandsia elvirae-grossiae,Amazonas
Tillandsia extensa,Áncash
Tillandsia extensa,Lambayeque
Tillandsia gerd-muelleri,Cusco
Tillandsia gutteana,Cajamarca
Tillandsia heteromorpha,Áncash
Tillandsia heteromorpha,Cajamarca
Tillandsia heteromorpha,Lambayeque
Tillandsia heteromorpha,La Libertad
Tillandsia hildae,Cajamarca
Tillandsia huarazensis,Áncash
Tillandsia interrupta,Áncash
Tillandsia interrupta,Lima
Tillandsia kauffmannii,La Libertad
Tillandsia kirschnekii,Apurímac
Tillandsia koideae,Piura
Tillandsia krahnii,Áncash
Tillandsia krukoffiana,Cajamarca
Tillandsia landbeckii,Ayacucho
Tillandsia landbeckii,Cusco
Tillandsia latifolia,Lima
Tillandsia latifolia,Cajamarca
Tillandsia laxissima var. moorei,San Martín
Tillandsia lindenii,Piura
Tillandsia lopezii,Áncash
Tillandsia lopezii,La Libertad
Tillandsia macbrideana,Amazonas
Tillandsia macbrideana,Cajamarca
Tillandsia macbrideana,Huánuco
Tillandsia macbrideana,La Libertad
Tillandsia macbrideana,Lima
Tillandsia micans,Cusco
Tillandsia mima,Cajamarca
Tillandsia oroyensis,Áncash
Tillandsia oxapampae,Pasco
Tillandsia paleacea,Apurímac
Tillandsia peruviana,Cajamarca
Tillandsia pinnato-digitata,Áncash
Tillandsia piurensis,Piura
Tillandsia platyphylla,Cajamarca
Tillandsia platyrhachis var. magnifica,Huánuco
Tillandsia pomacochae,Amazonas
Tillandsia propagulifera,Amazonas
Tillandsia propagulifera,Cajamarca
Tillandsia pseudomacbrideana,La Libertad
Tillandsia pseudomicans,Apurímac
Tillandsia pucaraensis,Cajamarca
Tillandsia purpurascens,Piura
Tillandsia rauhii,Lambayeque
Tillandsia rauhii,Cajamarca
Tillandsia rauhii,Lambayeque
Tillandsia rauhii,Piura
Tillandsia reducta,Cajamarca
Tillandsia reducta,La Libertad
Tillandsia spiraliflora,Amazonas
Tillandsia spiraliflora,Cajamarca
Tillandsia subconcolor,Cusco
Tillandsia subconcolor,Huánuco
Tillandsia teres,Cajamarca
Tillandsia truxillana,La Libertad
Tillandsia werdermannii,Moquegua
Tillandsia werdermannii,Tacna
Tillandsia zaratensis,Lima
Vriesea curvispica,Amazonas
Vriesea ochracea,Pasco
Vriesea oxapampae,Pasco
Vriesea piepenbringii,Amazonas
Vriesea subandina,Amazonas
Vriesea subandina,San Martín
Vriesea tarmaensis,Junín
Vriesea tarmaensis,Pasco
Brunellia briquetii,Amazonas
Brunellia briquetii,Cajamarca
Brunellia brunnea,Cusco
Brunellia brunnea,San Martín
Brunellia cuzcoensis,Cusco
Brunellia dichapetaloides,Junín
Brunellia dulcis,Cajamarca
Brunellia dulcis,Huánuco
Brunellia dulcis,Pasco
Brunellia hexasepala,Puno
Brunellia weberbaueri,Huánuco
Brunellia weberbaueri,Pasco
Buddleja blattaria,Cajamarca
Buddleja blattaria,Piura
Buddleja blattaria,San Martín
Buddleja vexans,Cusco
Buddleja vexans,Huancavelica
Buddleja vexans,Junín
Protium glaucum,Loreto
Protium glaucum,San Martín
Trattinnickia laxiflora,Junín
Styloceras penninervium,Junín
Styloceras penninervium,Pasco
Styloceras penninervium,San Martín
Armatocereus arduus,Cajamarca
Armatocereus arduus,La Libertad
Cereus ghiesbreghtii,Áncash
Cereus ghiesbreghtii,Arequipa
Cereus ghiesbreghtii,Cajamarca
Cereus ghiesbreghtii,Huancavelica
Cereus ghiesbreghtii,Ica
Cereus ghiesbreghtii,La Libertad
Cereus ghiesbreghtii,Lima
Armatocereus mataranus,Áncash
Armatocereus mataranus,Cajamarca
Armatocereus procerus,Áncash
Armatocereus procerus,Ica
Armatocereus procerus,Lima
Armatocereus rauhii,Amazonas
Armatocereus rauhii,Cajamarca
Armatocereus rauhii,Lambayeque
Armatocereus rauhii,Amazonas
Armatocereus rauhii,Áncash
Armatocereus rauhii,Cajamarca
Armatocereus riomajensis,Arequipa
Armatocereus rupicola,Cajamarca
Austrocylindropuntia pachypus,Áncash
Austrocylindropuntia pachypus,Lima
Browningia albiceps,Cajamarca
Browningia altissima,Cajamarca
Browningia amstutziae,Pasco
Browningia chlorocarpa,Cajamarca
Browningia chlorocarpa,Lambayeque
Browningia chlorocarpa,Piura
Browningia columnaris,Ayacucho
Browningia hertlingiana,Apurímac
Browningia hertlingiana,Ayacucho
Browningia hertlingiana,Huancavelica
Browningia pilleifera,Amazonas
Browningia pilleifera,Cajamarca
Browningia viridis,Apurímac
Browningia viridis,Arequipa
Browningia viridis,Ayacucho
Calymmanthium substerile,Amazonas
Calymmanthium substerile,Cajamarca
Cereus vargasianus,Cusco
Cereus vargasianus,Huánuco
Cleistocactus acanthurus,Ica
Cleistocactus acanthurus,Lima
Cleistocactus acanthurus,Lima
Cleistocactus acanthurus,Lima
Cleistocactus chotaensis,La Libertad
Cleistocactus clavispinus,Ica
Cleistocactus fieldianus,Áncash
Cleistocactus fieldianus subsp. samnensis,Áncash
Cleistocactus fieldianus subsp. samnensis,Cajamarca
Cleistocactus fieldianus subsp. samnensis,La Libertad
Cleistocactus fieldianus,Lima
Cleistocactus hystrix,Ica
Cleistocactus morawetzianus,Ayacucho
Cleistocactus morawetzianus,Huancavelica
Cleistocactus pachycladus,Ica
Cleistocactus pachycladus,Lima
Cleistocactus peculiaris,Apurímac
Cleistocactus peculiaris,Huancavelica
Cleistocactus peculiaris,Ica
Cleistocactus peculiaris,Lima
Cleistocactus plagiostoma,Cajamarca
Cleistocactus plagiostoma,Lima
Cleistocactus pungens,Apurímac
Cleistocactus pungens,Ayacucho
Cleistocactus sextonianus,Arequipa
Cleistocactus sextonianus,Ayacucho
Cleistocactus sextonianus,Ica
Cleistocactus tenuiserpens,Amazonas
Cleistocactus tenuiserpens,Cajamarca
Cleistocactus tenuiserpens,Lambayeque
Cleistocactus tenuiserpens,Piura
Cleistocactus x crassiserpens,Piura
Cleistocactus xylorhizus,Lima
Corryocactus acervatus,Arequipa
Corryocactus apiciflorus,Áncash
Corryocactus aureus,Arequipa
Corryocactus ayacuchoensis,Ayacucho
Corryocactus brachycladus,Áncash
Corryocactus brachypetalus,Arequipa
Corryocactus brevispinus,Arequipa
Corryocactus brevistylus,Arequipa
Corryocactus brevistylus,Ayacucho
Corryocactus chachapoyensis,Amazonas
Corryocactus chavinilloensis,Huánuco
Corryocactus cuajonesensis,Moquegua
Corryocactus erectus,Cusco
Corryocactus gracilis,Apurímac
Corryocactus gracilis,Ayacucho
Corryocactus heteracanthus,Ayacucho
Corryocactus huincoensis,Lima
Corryocactus matucanensis,Lima
Corryocactus megarhizus,Ayacucho
Corryocactus melaleucus,Lima
Corryocactus odoratus,Huancavelica
Corryocactus pilispinus,La Libertad
Corryocactus prostratus,Arequipa
Corryocactus pyroporphyranthus,Ayacucho
Erdisia quadrangularis,Ayacucho
Corryocactus quivillanus,Huánuco
Corryocactus serpens,Huancavelica
Corryocactus solitarius,La Libertad
Corryocactus tenuiculus,Áncash
Cumulopuntia galerasensis,Ayacucho
Cumulopuntia tumida,Arequipa
Echinopsis cephalomacrostibas,Arequipa
Echinopsis chalaensis,Arequipa
Echinopsis cuzcoensis,Cusco
Echinopsis knuthiana,Ayacucho
Echinopsis pampana,Arequipa
Echinopsis peruviana,Áncash
Echinopsis peruviana,Cajamarca
Echinopsis peruviana,Junín
Echinopsis peruviana,Lima
Echinopsis peruviana,Moquegua
Echinopsis peruviana,Tacna
Echinopsis peruviana,Ayacucho
Echinopsis santaensis,Áncash
Echinopsis schoenii,Arequipa
Echinopsis tarmaensis,Junín
Echinopsis tegeleriana,Ayacucho
Echinopsis tulhuayacensis,Huánuco
Epiphyllum floribundum,Loreto
Islaya islayensis,Arequipa
Islaya islayensis,Ica
Islaya islayensis,Lima
Islaya islayensis,Moquegua
Islaya islayensis,Tacna
Espostoa baumannii,Amazonas
Espostoa blossfeldiorum,Cajamarca
Espostoa blossfeldiorum,Piura
Espostoa calva,Amazonas
Espostoa huanucoensis,Huánuco
Espostoa hylaea,Amazonas
Espostoa lanianuligera,Cajamarca
Espostoa melanostele,Lima
Espostoa mirabilis,Amazonas
Espostoa mirabilis,Cajamarca
Espostoa nana,Áncash
Espostoa ritteri,Cajamarca
Espostoa ruficeps,Áncash
Espostoa senilis,Áncash
Espostoa senilis,La Libertad
Espostoa superba,Cajamarca
Espostoa utcubambensis,Amazonas
Eulychnia ritteri,Arequipa
Haageocereus acranthus,Lima
Haageocereus acranthus,Lima
Haageocereus acranthus,Cajamarca
Haageocereus acranthus,Lima
Haageocereus acranthus,Áncash
Haageocereus acranthus,Lima
Haageocereus albispinus,Lima
Haageocereus chalaensis,Arequipa
Haageocereus chryseus,Áncash
Haageocereus decumbens,Arequipa
Haageocereus fulvus,Áncash
Haageocereus icensis,Ica
Haageocereus icosagonoides,Lambayeque
Haageocereus lanugispinus,Áncash
Haageocereus lanugispinus,Lima
Haageocereus pacalaensis,Áncash
Haageocereus pacalaensis,La Libertad
Haageocereus pacalaensis,Lambayeque
Haageocereus pacalaensis,La Libertad
Haageocereus platinospinus,Arequipa
Haageocereus platinospinus,Tacna
Haageocereus pluriflorus,Arequipa
Haageocereus pseudomelanostele,Lima
Haageocereus pseudomelanostele,Lima
Haageocereus pseudomelanostele,Lima
Haageocereus pseudomelanostele,Lima
Haageocereus pseudomelanostele,Lima
Haageocereus pseudomelanostele,Ayacucho
Haageocereus pseudomelanostele,Ica
Haageocereus pseudoversicolor,Lambayeque
Haageocereus pseudoversicolor,La Libertad
Haageocereus subtilispinus,Arequipa
Haageocereus tenuis,Lima
Haageocereus versicolor,Lambayeque
Haageocereus versicolor,Piura
Haageocereus versicolor,Tumbes
Haageocereus vulpes,Lima
Haageocereus zangalensis,Cajamarca
Hylocereus peruvianus,Cajamarca
Hylocereus peruvianus,Lambayeque
Hylocereus peruvianus,Piura
Lasiocereus fulvus,Amazonas
Lasiocereus rupicola,Cajamarca
Lepismium brevispinum,Amazonas
Lepismium micranthum,Puno
Cleistocactus serpens,Áncash
Cleistocactus serpens,Cajamarca
Cleistocactus serpens,La Libertad
Cleistocactus clavispinus,Ayacucho
Cleistocactus clavispinus,Ica
Loxanthocereus erectispinus,Áncash
Loxanthocereus hoffmannii,Lima
Matucana aurantiaca,Cajamarca
Matucana aurantiaca,La Libertad
Matucana aurantiaca,Áncash
Matucana aurantiaca,Cajamarca
Matucana aurantiaca,La Libertad
Matucana aureiflora,Cajamarca
Matucana formosa,Cajamarca
Matucana formosa,La Libertad
Matucana fruticosa,Cajamarca
Matucana hastifera,Áncash
